Title,Relevant,Reason for relevancy,Reviewer 2,Link,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
Leveraging Large Language Models for Auto-remediation in Microservices Architecture,Yes,,,https://ieeexplore.ieee.org/document/10336221/,IEEE,software AND microservice* AND (anomal* OR bug OR event) AND (large language model* OR gen* ai OR foundation model* OR LLM OR *GPT OR chatbot) AND (trac* OR log* OR metric*),None,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
TADL: Fault Localization with Transformer-based Anomaly Detection for Dynamic Microservice Systems,Yes,,,https://ieeexplore.ieee.org/document/10123637,IEEE,,None,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
Unsupervised Detection of Microservice Trace Anomalies through Service-Level Deep Bayesian Networks,Yes,,,https://ieeexplore.ieee.org/document/9251058/,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Efficient and Robust Trace Anomaly Detection for Large-Scale Microservice Systems,Yes,,,https://ieeexplore.ieee.org/document/10301258/,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Fault Diagnosis for Open Source Software Based on Dynamic Tracking,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Trace-based Intelligent Fault Diagnosis for Microservices with Deep Learning,Yes,,,https://ieeexplore.ieee.org/document/9529433/,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Robust Procedural Learning for Anomaly Detection and Observability in 5G RAN,No,It is about anomaly detection in 5G radio access network,,https://ieeexplore.ieee.org/document/10269127,IEEE,,,,,,,,,,,,,,,,,,,,,,
Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data,Yes,,,https://ieeexplore.ieee.org/document/10172617,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Microservice Architecture Reconstruction and Visualization Techniques: A Review,No,"Literature review, also not about software recovery",,https://ieeexplore.ieee.org/document/9912633/,IEEE,,,,,,,,,,,,,,,,,,,,,,
Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings,Yes,,,https://ieeexplore.ieee.org/document/9678708/,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Visualizing Microservice Architecture in the Dynamic Perspective: A Systematic Mapping Study,No,"Literature review, also not about software recovery",,https://ieeexplore.ieee.org/document/9944666/,IEEE,,,,,,,,,,,,,,,,,,,,,,
Multilayered Fault Detection and Localization With Transformer for Microservice Systems,Yes,,,https://ieeexplore.ieee.org/document/10423414/,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
ROSDiscover: Statically Detecting Run-Time Architecture Misconfigurations in Robotics Systems,No,it is about misconfiguration detection in the robotics stpace,,https://ieeexplore.ieee.org/document/9779703,IEEE,,,,,,,,,,,,,,,,,,,,,,
Cloud-Native Computing: A Survey From the Perspective of Services,No,Secondary studies,,https://ieeexplore.ieee.org/document/10433234/,IEEE,,,,,,,,,,,,,,,,,,,,,,
Distributed Service Choreography Framework for Interoperability Among Prosumers and Electric Power System,No,Relating to power systems,,https://ieeexplore.ieee.org/document/10345579/,IEEE,,,,,,,,,,,,,,,,,,,,,,
Toward the Observability of Cloud-Native Applications: The Overview of the State-of-the-Art,No,Secondary studies,,https://ieeexplore.ieee.org/document/10141603/,IEEE,,,,,,,,,,,,,,,,,,,,,,
Programmable Logic Controllers in the Context of Industry 4.0,No,Unrelated to microservice anomaly detection or incident recovery,,https://ieeexplore.ieee.org/document/9134804/,IEEE,,,,,,,,,,,,,,,,,,,,,,
NoSQL Database Performance Diagnosis through System Call-level Introspection,No,Database performance related,,https://ieeexplore.ieee.org/document/9789934/,IEEE,,,,,,,,,,,,,,,,,,,,,,
Fault Report Generation for ICT Systems by Jointly Learning Time-series and Text Data,Yes,,,https://ieeexplore.ieee.org/document/9789784/,IEEE,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Buffer-Based High-Coverage and Low-Overhead Request Event Monitoring in the Cloud,Yes?,"More related to performance monitoring instead of incident recovery, but still quite relevant",,https://ieeexplore.ieee.org/document/10016287/,IEEE,,,,,,,,,,,,,,,,,,,,,,
AntiMSA: A framework for detecting malicious software agents in online multiplayer games,No,Security-related,,https://ieeexplore.ieee.org/document/10053949/,IEEE,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rejected,0,0,0,3,0,0,,,,,,,,,,,,,,
